date,Payweek,Weekends,Holidays,Festival,Day_of_Month,Day_of_Week,Week_YearWise,Week_QuarterWise
2015-04-07,0,0,0,0,7,3,15,2
2015-04-08,0,0,0,0,8,4,15,2
2015-04-09,0,1,0,0,9,5,15,2
2015-04-10,0,1,0,0,10,6,15,2
2015-04-11,0,1,0,0,11,7,15,2
2015-04-12,0,0,0,0,12,1,16,3
2015-04-13,0,0,0,0,13,2,16,3
2015-04-14,0,0,0,0,14,3,16,3
2015-04-15,0,0,0,0,15,4,16,3
2015-04-16,0,1,0,0,16,5,16,3
2015-04-17,0,1,0,0,17,6,16,3
2015-04-18,0,1,0,0,18,7,16,3
2015-04-19,0,0,0,0,19,1,17,4
2015-04-20,0,0,0,0,20,2,17,4
2015-04-21,0,0,0,0,21,3,17,4
2015-04-22,0,0,0,0,22,4,17,4
2015-04-23,0,1,0,0,23,5,17,4
2015-04-24,0,1,0,0,24,6,17,4
2015-04-25,1,1,0,0,25,7,17,4
2015-04-26,1,0,0,0,26,1,18,5
2015-04-27,1,0,0,0,27,2,18,5
2015-04-28,1,0,0,0,28,3,18,5
2015-04-29,1,0,0,0,29,4,18,5
2015-04-30,1,1,0,0,30,5,18,5
2015-05-01,1,1,0,0,1,6,18,5
2015-05-02,1,1,0,0,2,7,18,5
2015-05-03,0,0,0,0,3,1,19,6
2015-05-04,0,0,0,0,4,2,19,6
2015-05-05,0,0,0,0,5,3,19,6
2015-05-06,0,0,0,0,6,4,19,6
2015-05-07,0,1,0,0,7,5,19,6
2015-05-08,0,1,0,0,8,6,19,6
2015-05-09,0,1,0,0,9,7,19,6
2015-05-10,0,0,0,0,10,1,20,7
2015-05-11,0,0,0,0,11,2,20,7
2015-05-12,0,0,0,0,12,3,20,7
2015-05-13,0,0,0,0,13,4,20,7
2015-05-14,0,1,0,0,14,5,20,7
2015-05-15,0,1,0,0,15,6,20,7
2015-05-16,0,1,1,1,16,7,20,7
2015-05-17,0,0,0,0,17,1,21,8
2015-05-18,0,0,0,0,18,2,21,8
2015-05-19,0,0,0,0,19,3,21,8
2015-05-20,0,0,0,0,20,4,21,8
2015-05-21,0,1,0,0,21,5,21,8
2015-05-22,0,1,0,0,22,6,21,8
2015-05-23,0,1,0,0,23,7,21,8
2015-05-24,0,0,0,0,24,1,22,9
2015-05-25,1,0,0,0,25,2,22,9
2015-05-26,1,0,0,0,26,3,22,9
2015-05-27,1,0,0,0,27,4,22,9
2015-05-28,1,1,0,0,28,5,22,9
2015-05-29,1,1,0,0,29,6,22,9
2015-05-30,1,1,0,0,30,7,22,9
2015-05-31,1,0,0,0,31,1,23,10
2015-06-01,1,0,0,0,1,2,23,10
2015-06-02,1,0,0,0,2,3,23,10
2015-06-03,0,0,0,0,3,4,23,10
2015-06-04,0,1,0,0,4,5,23,10
2015-06-05,0,1,0,0,5,6,23,10
2015-06-06,0,1,0,0,6,7,23,10
2015-06-07,0,0,0,0,7,1,24,11
2015-06-08,0,0,0,0,8,2,24,11
2015-06-09,0,0,0,0,9,3,24,11
2015-06-10,0,0,0,0,10,4,24,11
2015-06-11,0,1,0,0,11,5,24,11
2015-06-12,0,1,0,0,12,6,24,11
2015-06-13,0,1,0,0,13,7,24,11
2015-06-14,0,0,0,0,14,1,25,12
2015-06-15,0,0,0,0,15,2,25,12
2015-06-16,0,0,0,0,16,3,25,12
2015-06-17,0,0,0,1,17,4,25,12
2015-06-18,0,1,0,1,18,5,25,12
2015-06-19,0,1,0,1,19,6,25,12
2015-06-20,0,1,0,1,20,7,25,12
2015-06-21,0,0,0,1,21,1,26,13
2015-06-22,0,0,0,1,22,2,26,13
2015-06-23,0,0,0,1,23,3,26,13
2015-06-24,0,0,0,1,24,4,26,13
2015-06-25,1,1,0,1,25,5,26,13
2015-06-26,1,1,0,1,26,6,26,13
2015-06-27,1,1,0,1,27,7,26,13
2015-06-28,1,0,0,1,28,1,27,14
2015-06-29,1,0,0,1,29,2,27,14
2015-06-30,1,0,0,1,30,3,27,14
2015-07-01,1,0,0,1,1,4,27,1
2015-07-02,1,1,0,1,2,5,27,1
2015-07-03,0,1,0,1,3,6,27,1
2015-07-04,0,1,0,1,4,7,27,1
2015-07-05,0,0,0,1,5,1,28,2
2015-07-06,0,0,0,1,6,2,28,2
2015-07-07,0,0,0,1,7,3,28,2
2015-07-08,0,0,0,1,8,4,28,2
2015-07-09,0,1,0,1,9,5,28,2
2015-07-10,0,1,0,1,10,6,28,2
2015-07-11,0,1,0,1,11,7,28,2
2015-07-12,0,0,0,1,12,1,29,3
2015-07-13,0,0,0,1,13,2,29,3
2015-07-14,0,0,0,1,14,3,29,3
2015-07-15,0,0,0,1,15,4,29,3
2015-07-16,0,1,1,1,16,5,29,3
2015-07-17,0,1,1,1,17,6,29,3
2015-07-18,0,1,1,1,18,7,29,3
2015-07-19,0,0,0,0,19,1,30,4
2015-07-20,0,0,0,0,20,2,30,4
2015-07-21,0,0,0,0,21,3,30,4
2015-07-22,0,0,0,0,22,4,30,4
2015-07-23,0,1,0,0,23,5,30,4
2015-07-24,0,1,0,0,24,6,30,4
2015-07-25,1,1,0,0,25,7,30,4
2015-07-26,1,0,0,0,26,1,31,5
2015-07-27,1,0,0,0,27,2,31,5
2015-07-28,1,0,0,0,28,3,31,5
2015-07-29,1,0,0,0,29,4,31,5
2015-07-30,1,1,0,0,30,5,31,5
2015-07-31,1,1,0,0,31,6,31,5
2015-08-01,1,1,0,0,1,7,31,5
2015-08-02,1,0,0,0,2,1,32,6
2015-08-03,0,0,0,0,3,2,32,6
2015-08-04,0,0,0,0,4,3,32,6
2015-08-05,0,0,0,0,5,4,32,6
2015-08-06,0,1,0,0,6,5,32,6
2015-08-07,0,1,0,0,7,6,32,6
2015-08-08,0,1,0,0,8,7,32,6
2015-08-09,0,0,0,0,9,1,33,7
2015-08-10,0,0,0,0,10,2,33,7
